date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,normalized_home_team,normalized_away_team
2026-06-22,Argentina,Austria,,,FIFA World Cup,Arlington,United States,True,Argentina,Austria
2026-06-22,Jordan,Algeria,,,FIFA World Cup,Santa Clara,United States,True,Jordan,Algeria
2026-06-23,Portugal,Uzbekistan,,,FIFA World Cup,Houston,United States,True,Portugal,Uzbekistan
2026-06-23,Colombia,DR Congo,,,FIFA World Cup,Zapopan,Mexico,True,Colombia,DR Congo
2026-06-23,England,Ghana,,,FIFA World Cup,Foxborough,United States,True,England,Ghana
2026-06-23,Panama,Croatia,,,FIFA World Cup,Toronto,Canada,True,Panama,Croatia
2026-06-24,Mexico,Czech Republic,,,FIFA World Cup,Mexico City,Mexico,False,Mexico,Czech Republic
2026-06-24,South Africa,South Korea,,,FIFA World Cup,Guadalupe,Mexico,True,South Africa,Korea Republic
2026-06-24,Canada,Switzerland,,,FIFA World Cup,Vancouver,Canada,False,Canada,Switzerland
2026-06-24,Bosnia and Herzegovina,Qatar,,,FIFA World Cup,Seattle,United States,True,Bosnia and Herzegovina,Qatar
2026-06-24,Scotland,Brazil,,,FIFA World Cup,Miami Gardens,United States,True,Scotland,Brazil
2026-06-24,Morocco,Haiti,,,FIFA World Cup,Atlanta,United States,True,Morocco,Haiti
2026-06-25,United States,Turkey,,,FIFA World Cup,Inglewood,United States,False,United States,Turkey
2026-06-25,Paraguay,Australia,,,FIFA World Cup,Santa Clara,United States,True,Paraguay,Australia
2026-06-25,Curaçao,Ivory Coast,,,FIFA World Cup,Philadelphia,United States,True,Curaçao,Ivory Coast
2026-06-25,Ecuador,Germany,,,FIFA World Cup,East Rutherford,United States,True,Ecuador,Germany
2026-06-25,Japan,Sweden,,,FIFA World Cup,Arlington,United States,True,Japan,Sweden
2026-06-25,Tunisia,Netherlands,,,FIFA World Cup,Kansas City,United States,True,Tunisia,Netherlands
2026-06-26,Egypt,Iran,,,FIFA World Cup,Seattle,United States,True,Egypt,Iran
2026-06-26,New Zealand,Belgium,,,FIFA World Cup,Vancouver,Canada,True,New Zealand,Belgium
2026-06-26,Cape Verde,Saudi Arabia,,,FIFA World Cup,Houston,United States,True,Cape Verde,Saudi Arabia
2026-06-26,Uruguay,Spain,,,FIFA World Cup,Zapopan,Mexico,True,Uruguay,Spain
2026-06-26,Norway,France,,,FIFA World Cup,Foxborough,United States,True,Norway,France
2026-06-26,Senegal,Iraq,,,FIFA World Cup,Toronto,Canada,True,Senegal,Iraq
2026-06-27,Algeria,Austria,,,FIFA World Cup,Kansas City,United States,True,Algeria,Austria
2026-06-27,Jordan,Argentina,,,FIFA World Cup,Arlington,United States,True,Jordan,Argentina
2026-06-27,Colombia,Portugal,,,FIFA World Cup,Miami Gardens,United States,True,Colombia,Portugal
2026-06-27,DR Congo,Uzbekistan,,,FIFA World Cup,Atlanta,United States,True,DR Congo,Uzbekistan
2026-06-27,Panama,England,,,FIFA World Cup,East Rutherford,United States,True,Panama,England
2026-06-27,Croatia,Ghana,,,FIFA World Cup,Philadelphia,United States,True,Croatia,Ghana
